,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Area_log,Price_log,loc_updated
0,800.0,3,2,Semi-Furnished,Rohini Sector 25,1,6500000,Ready_to_move,New_Property,Builder_Floor,6.684611727667928,15.687312734865866,Rohini
1,750.0,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,Apartment,6.620073206530356,15.424948470398377,Rohini
2,950.0,2,2,Furnished,"Citizen Apartment, Rohini Sector 13",1,15500000,Ready_to_move,Resale,Apartment,6.856461984594588,16.556350581889475,Rohini
3,600.0,2,2,Semi-Furnished,Rohini Sector 24,1,4200000,Ready_to_move,Resale,Builder_Floor,6.396929655216146,15.250595083253597,Rohini
4,650.0,2,2,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1,6200000,Ready_to_move,New_Property,Builder_Floor,6.476972362889682,15.640059850015321,Rohini
5,1300.0,4,3,Semi-Furnished,Rohini Sector 24,1,15500000,Ready_to_move,New_Property,Builder_Floor,7.170119543449628,16.556350581889475,Rohini
6,1350.0,4,3,Semi-Furnished,Rohini Sector 24,1,10000000,Ready_to_move,Resale,Builder_Floor,7.2078598714324755,16.11809565095832,Rohini
7,650.0,2,2,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1,4000000,Ready_to_move,New_Property,Apartment,6.476972362889682,15.201804919084164,Rohini
8,985.0,3,3,Unfurnished,Rohini Sector 21,1,6800000,Almost_ready,New_Property,Builder_Floor,6.892641641172088,15.732433170146336,Rohini
9,1300.0,4,4,Semi-Furnished,Rohini Sector 22,1,15000000,Ready_to_move,New_Property,Builder_Floor,7.170119543449628,16.523560759066484,Rohini
10,1100.0,3,2,Semi-Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,Builder_Floor,7.0030654587864625,15.640059850015321,Rohini
11,870.0,3,2,Semi-Furnished,Rohini Sector 25,1,7700000,Ready_to_move,New_Property,Builder_Floor,6.76849321164863,15.856730886823911,Rohini
12,630.0,2,2,Semi-Furnished,Rohini Sector 24,1,5500000,Ready_to_move,New_Property,Builder_Floor,6.4457198193855785,15.520258650202699,Rohini
13,660.0,2,2,Semi-Furnished,Rohini Sector 24,1,5000000,Ready_to_move,Resale,Builder_Floor,6.492239835020472,15.424948470398377,Rohini
14,344.4448,2,2,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1,3310000,Ready_to_move,Resale,Builder_Floor,5.841933845394549,15.012458747353245,Rohini
15,660.0,2,2,Semi-Furnished,"Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served",1,4700000,Ready_to_move,New_Property,Builder_Floor,6.492239835020472,15.363073066680286,Rohini
16,550.0,2,2,Semi-Furnished,Rohini Sector 22,1,4500000,Ready_to_move,New_Property,Builder_Floor,6.309918278226516,15.319587954740546,Rohini
17,1100.0,4,3,Semi-Furnished,Rohini Sector 16,1,17000000,Ready_to_move,New_Property,Builder_Floor,7.0030654587864625,16.64872390202049,Rohini
18,1150.0,3,3,Semi-Furnished,Rohini Sector 14,1,25000000,Ready_to_move,Resale,Apartment,7.047517221357295,17.034386382832476,Rohini
19,650.0,2,2,Semi-Furnished,Rohini Sector 24,1,6000000,Ready_to_move,Resale,Builder_Floor,6.476972362889682,15.60727002719233,Rohini
20,850.0,2,2,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1,11000000,Ready_to_move,Resale,Apartment,6.745236349484363,16.213405830762643,Rohini
21,900.0,3,2,Semi-Furnished,"Vijay Vihar, Rohini",5,4500000,Ready_to_move,Resale,Builder_Floor,6.802394763324312,15.319587954740546,Rohini
22,430.556,1,1,Furnished,"Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod",2,5300000,Ready_to_move,Resale,Apartment,6.065077396708761,15.483217378522351,Rohini
23,900.0,2,2,Semi-Furnished,"Prashant Vihar, Rohini",1,10500000,Ready_to_move,Resale,Apartment,6.802394763324312,16.166885815127753,Rohini
24,914.9315,2,2,Semi-Furnished,Rohini Sector 5,1,12000000,Ready_to_move,Resale,Builder_Floor,6.8188491990851405,16.300417207752275,Rohini
